SP_ID,oa_code,supgrp_cd,grp_cd
"5802",E00017715,G,G2
"5803",E00015696,E,E2
"5804",E00015693,B,B1
"5805",E00014714,D,D2
"5806",E00015612,E,E2
"5807",E00017713,B,B1
"5808",E00000838,F,F2
"5809",E00000839,H,H1
"5810",E00022221,C,C1
"5811",E00167496,D,D2
"5812",E00002172,H,H2
"5813",E00023216,F,F1
"5814",E00007572,H,H1
"5815",E00022223,A,A1
"5816",E00167497,D,D1
"5817",E00022220,C,C1
"5818",E00007575,F,F2
"5819",E00022225,A,A1
"5820",E00167490,D,D1
"5821",E00022222,C,C1
"5822",E00167491,D,D1
"5823",E00022227,A,A1
"5824",E00007577,D,D1
"5825",E00022224,H,H2
"5826",E00167492,B,B3
"5827",E00007570,F,F2
"5828",E00023297,H,H2
"5829",E00007573,C,C4
"5830",E00023296,F,F2
"5831",E00000946,B,B1
"5832",E00003322,H,H2
"5833",E00005413,C,C4
"5834",E00005491,H,H1
"5835",E00004429,F,F1
"5836",E00005492,A,A2
"5837",E00000411,A,A1
"5838",E00000490,A,A1
"5839",E00005412,C,C1
"5840",E00005493,H,H1
"5841",E00005410,C,C1
"5842",E00005490,A,A2
"5843",E00173945,E,E1
"5844",E00173948,B,B3
"5845",E00173944,D,D1
"5846",E00173946,D,D1
"5847",E00173947,B,B1
"5848",E00173940,G,G2
"5849",E00173941,E,E1
"5850",E00173949,E,E1
"5851",E00016656,E,E1
"5852",E00011916,H,H2
"5853",E00008631,B,B1
"5854",E00011915,H,H1
"5855",E00016996,B,B1
"5856",E00011377,A,A2
"5857",E00011374,A,A2
"5858",E00009838,F,F1
"5859",E00011376,A,A2
"5860",E00009830,B,B1
"5861",E00009831,B,B1
"5862",E00009832,F,F2
"5863",E00009833,F,F1
"5864",E00011372,A,A2
"5865",E00011373,A,A2
"5866",E00020726,H,H2
"5867",E00000088,A,A1
"5868",E00021107,A,A2
"5869",E00021104,A,A1
"5870",E00019022,G,G1
"5871",E00014848,A,A2
"5872",E00013097,G,G2
"5873",E00018078,G,G1
"5874",E00017849,C,C3
"5875",E00013016,A,A1
"5876",E00001266,A,A2
"5877",E00015834,B,B3
"5878",E00008267,F,F1
"5879",E00019025,G,G1
"5880",E00015832,E,E2
"5881",E00018079,C,C3
"5882",E00004252,E,E2
"5883",E00004253,B,B3
"5884",E00006269,A,A1
"5885",E00004255,E,E2
"5886",E00006268,C,C4
"5887",E00004254,B,B2
"5888",E00004257,E,E2
"5889",E00002250,H,H2
"5890",E00004250,E,E2
"5891",E00004251,F,F1
"5892",E00002360,G,G2
"5893",E00002361,C,C4
"5894",E00002362,C,C4
"5895",E00002363,C,C4
"5896",E00011927,H,H1
"5897",E00171552,D,D2
"5898",E00005938,A,A1
"5899",E00010152,F,F1
"5900",E00005113,H,H2
"5901",E00008513,B,B1
"5902",E00000715,C,C4
"5903",E00000794,A,A1
"5904",E00000714,C,C4
"5905",E00000795,E,E1
"5906",E00018874,C,C1
"5907",E00012827,F,F1
"5908",E00021856,C,C1
"5909",E00015922,C,C1
"5910",E00013186,C,C1
"5911",E00018168,C,C3
"5912",E00014978,G,G1
"5913",E00013187,C,C1
"5914",E00013106,C,C2
"5915",E00017979,C,C3
"5916",E00015925,E,E1
"5917",E00013107,C,C4
"5918",E00018169,G,G1
"5919",E00009088,G,G2
"5920",E00011500,A,A2
"5921",E00009382,B,B3
"5922",E00009381,G,G2
"5923",E00011502,A,A2
"5924",E00009302,D,D2
"5925",E00011583,H,H2
"5926",E00012046,H,H2
"5927",E00009303,E,E2
"5928",E00010558,G,G2
"5929",E00012047,H,H2
"5930",E00009384,G,G2
"5931",E00011585,H,H2
"5932",E00176334,B,B3
"5933",E00009383,B,B1
"5934",E00011504,A,A2
"5935",E00176335,B,B3
"5936",E00009385,B,B1
"5937",E00011586,H,H2
"5938",E00176333,B,B3
"5939",E00008122,G,G2
"5940",E00003179,H,H2
"5941",E00013220,C,C2
"5942",E00006520,C,C2
"5943",E00006523,C,C1
"5944",E00015224,E,E1
"5945",E00005579,H,H2
"5946",E00013223,C,C2
"5947",E00006522,C,C1
"5948",E00015227,E,E1
"5949",E00005578,H,H2
